Transcriptions,Signature,Burial place,Mother,Instruments,Battles/wars,Parent(s),Rank,Spouse(s),Honours,Branch,2002–2007,Known for,"Service/, branch",Resting place,Place of Birth,Board member of,Partner(s),Relative(s),Genres,Website,Years of service,Burial,Issue,Other names,Name,Commands held,Spouses,Born,Family,Jyutping,Occupation,Succeeded by,Citizenship,Employer(s),Origin,Religion,Relatives,Education,Death Place,Works,Father,Awards,Birth Date,Organizations,President,Medium,Died,Allegiance,Hanyu Pinyin,Simplified Chinese,Height,Labels,Years active,Partner,1997–2007,Cause of death,Occupations,Traditional Chinese,Monuments,Service number,Losses,Partners,Instrument(s),Parent,Children,Full Birth Name,Organization,Reach,Spouse,Alma mater,Title,Occupation(s),Unit,Wins,Formerly of,Parents,House,Weight(s),Preceded by,Notable work,Political party,Nationality,Wade–Giles
,,,,,,,,,,,,,,Hollywood Forever Cemetery,"Denver, Colorado, , U.S.",,,,,,,,,,Douglas Fairbanks,,"Anna Beth Sully,  ,  , (, m., 1907;, div., 1919),  , Mary Pickford,  ,  , (, m., 1920;, div., 1936),  , Sylvia Ashley,  , (, m., 1936),  ",,,,,,,,,,,,"Santa Monica, California, , U.S.",,,,1883-05-23,,,,1939-12-12,,,,,,1899–1934,,,,"Actor, filmmaker",,,,,,,,Douglas Fairbanks Jr.,Douglas Elton Thomas Ullman,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Home of Peace Cemetery (East Los Angeles),Russian Empire,Metro-Goldwyn-Mayer,,,,,,,,"Louis Burt Mayer, Ezemiel Mayer, Louis Burton Mayer, Lazar Mayer,, Lazar Meir",Louis B. Mayer,,"Margaret Shenberg,  ,  , (, m., 1904;, div., 1947),  , Lorena Layson,  , (, m., 1948),  ",,,,,,,,,,,,"Los Angeles, California, , U.S.",,,,1884-07-12,,,,1957-10-29,,,,,,1915–1951,,,,"Film producer, Studio executive",,,,,,,,"2, including, Irene Mayer Selznick",Lazar Meir,,,,,,,,,,,,,,,Republican,Canadian-American,
,,,,,,,,"Gloria Swanson,  ,  , (, m., 1916;, div., 1918),  , Rita Gilman,  ,  , (, m., 1924;, div., 1939),  ",,,,,,"Forest Lawn Memorial Park, ,, Glendale, California, , U.S.","Clay County, Missouri, , U.S.",,,,,,,,,,Wallace Beery,,,,,,,,,,,,"Noah Beery Sr., (brother), Noah Beery Jr., (nephew)",,"Beverly Hills, California, , U.S.",,,,1885-04-01,,,,1949-04-15,,,,,,1904–1949,,,,"Actor, film director",,,,,,,,1,Wallace Fitzgerald Beery,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Sessue Hayakawa,,,,,,Actor,,,,,,,,,,,,,,,,"November 23, 1973, (1973-11-23), (aged 87), Tokyo, , Japan",,,,,,1914–1966,,,,,,,,,,,,3,,,,"Tsuru Aoki,  ,  , (, m., 1914; died, 1961, ),  ",,,,,,,,,,,,,,
,,"Forest Lawn Memorial Park Cemetery, , Glendale, California, U.S.",,,,"Sam ""Frenchie"" Marx, Minnie Schönberg",,,,,,,,,"Manhattan, ,, New York, , U.S.",,,,,,,,,Leo Marx,Chico Marx,,"Betty Karp,  ,  , (, m., 1917;, div., 1940),  , Mary De Vithas,  ,  , (, m., 1958),  ",,,,,,,,,,"Harpo Marx, (brother), Groucho Marx, (brother), Gummo Marx, (brother), Zeppo Marx, (brother), Al Shean, (maternal uncle)",,"Hollywood, ,, California, , U.S.",,,,1887-03-22,,,,1961-10-11,,,,5 ft 6 in (168 cm),,1910–1960,,,,"Actor, comedian, pianist",,,,,,,,1,Leonard Joseph Marx,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"Manhattan, ,, New York, , U.S.",,,,,,,,,,Harpo Marx,,,,,,,,,,,,"Groucho Marx, (younger brother), Chico Marx, (older brother), Gummo Marx, (younger brother), Zeppo Marx, (younger brother), Al Shean, (maternal uncle)",,"Los Angeles, ,, California, , U.S.",,,,1888-11-23,,,,1964-09-28,,,,,,1910–1963,,,,"Comedian, actor, mime artist, harpist",,,,,,,,4,Adolph Marx,,,"Susan Fleming,  , (, m., 1936),  ",,,,,,,"Sam ""Frenchie"" Marx, Minnie Schönberg",,,,,,,
,,"Cimetière de Corsier-sur-Vevey, Corsier-sur-Vevey, Switzerland",,,,"Charles Chaplin Sr., Hannah Hill",,,,,,,,,"London, , England",,,,,"charliechaplin, .com",,,,,Charlie Chaplin,,"Mildred Harris,  ,  , (, m., 1918;, div., 1920),  , Lita Grey,  ,  , (, m., 1924;, div., 1927),  , Paulette Goddard,  ,  , (, m., 1936;, div., 1942),  , Oona O'Neill,  , (, m., 1943),  ",,,,,,,,,,Chaplin family,,"Corsier-sur-Vevey, , Switzerland",Full list,,,1889-04-16,,,,1977-12-25,,,,,,1899–1975,,,,"Actor, comedian, director, composer, screenwriter, producer, editor",,,,,,,,"11, including, Charles, ,, Sydney, ,, Geraldine, ,, Michael, ,, Josephine, ,, Victoria, ,, Eugene, and, Christopher",Charles Spencer Chaplin,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Treasure Island, Captains Courageous, The Wizard of Oz, Gone with the Wind, Dr. Jekyll and Mr. Hyde, Joan of Arc",,Hollywood Forever Cemetery,"La Cañada Flintridge, California, , U.S.",,,,,,,,,,Victor Fleming,,,,,,,,,,,,,,"Cottonwood, Arizona, , U.S.",,,,1889-02-23,,,,1949-01-06,,,,,,1910–1949,,,,"director, cinematographer, producer",,,,,,,,,Victor Lonzo Fleming,,,Lucile Rosson (1933–1949),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"Ulverston, ,, Lancashire, , England",,,,,"laurel-and-hardy, .com",,,,,Stan Laurel,,"Lois Neilson,  ,  , (, m., 1926;, div., 1935),  , Virginia Ruth Rogers,  ,  , (, m., 1935;, div., 1937),  ,  ,  , (, m., 1941;, div., 1946),  , Vera Ivanova Shuvalova,  ,  , (, m., 1938;, div., 1940),  , Ida Kitaeva Raphael,  , (, m., 1946),  ",,,,,,,,,,,,"Santa Monica, California, , United States",,,,1890-06-16,,,,1965-02-23,,,,,,1906–1957,"Mae Dahlberg, (1917–1925)",,,"Actor, writer, comedian, entertainer, film director",,,,,,,,2,Arthur Stanley Jefferson,,,,,,,,,,,,,,,,,
,,,,,,"Sam ""Frenchie"" Marx, Minnie Schönberg",,,,,,,,Eden Memorial Park Cemetery,,,,"Chico Marx, (older brother), Harpo Marx, (older brother), Gummo Marx, (younger brother), Zeppo Marx, (younger brother), Al Shean, (maternal uncle)","Wit, wordplay, slapstick",,,,,,Groucho Marx,,,,,,,,,,,,,,,,,,,,,"Film, television, stage, radio, music","August 19, 1977, (1977-08-19), (aged 86), Los Angeles, California, , U.S.",,,,,,1905–1976,,,,,,,,,,,,"Arthur Marx, Miriam Marx, Melinda Marx",Julius Henry Marx,,,"Ruth Johnson,  ,  , (, m., 1920;, div., 1942),  , Kay Marvis Gorcey,  ,  , (, m., 1945;, div., 1951),  , Eden Hartford,  ,  , (, m., 1954;, div., 1969),  ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,"Home of Peace Cemetery, ,, East Los Angeles, California, , U.S.","London, ,, Ontario, , Canada",,,,,,,,,Jack Leonard Warner,Jack L. Warner,,"Irma Claire Salomon,  ,  , (, m., 1914;, div., 1935),  , Ann Page,  , (, m., 1936),  ",,,,Film executive,,,,,,"brothers, Harry, ,, Albert, , and, Sam Warner",,"Los Angeles, ,, California, , U.S.",,,,1892-08-02,,,,1978-09-09,,,,,,1918–1973,,,,,,,,,,,,"3, including, Jack M. Warner, and stepdaughter, Joy Page",Jacob Warner,,,,,,,,,,,,,,,Republican,,
,,,,,,,,"Madelyn Saloshin,  ,  , (, m., 1913;, div., 1921),  , Myrtle Reeves,  ,  , (, m., 1921;, div., 1937),  , Virginia Lucille Jones,  ,  , (, m., 1940),  ",,,,,,,"Harlem, Georgia, , U.S.",,,,,,,,,,Oliver Hardy,,,,,,Actor,,,,,,,,"North Hollywood, Los Angeles, , California, U.S.",,,,1892-01-18,,,,1957-08-07,,,,,,1914–1955,,,,,,,,,,,,,Norvell Hardy,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Forest Lawn Memorial Park (Glendale),"Berlin, ,, German Empire",,,,,,,,,,Ernst Lubitsch,,"Helene Kraus,  ,  , (, m., 1922;, div., 1930),  , Vivian Gaye,  ,  , (, m., 1935;, div., 1944),  ",,,,,,,,,,,,"Los Angeles, , California, U.S.",,,,1892-01-29,,,,1947-11-30,,,,,,1913–1947,,,,"Film director, producer, writer, actor",,,,,,,,1,,,,,,,,,,,,,,,,,,
,,"Forest Lawn Memorial Park, ,, Glendale, California",,,,,,,,,,,,,"Toronto, ,, Ontario, , Canada",,,,,Mary Pickford Foundation,,,,,Mary Pickford,,"Owen Moore,  ,  , (, m., 1911;, div., 1920),  , Douglas Fairbanks,  ,  , (, m., 1920;, div., 1936),  , Charles ""Buddy"" Rogers,  ,  , (, m., 1937),  ",,,,,,"British subject (1892–1920), United States (1920–1979), Canada (1978–1979)",,,,"Lottie Pickford, (sister), Jack Pickford, (brother)",,"Santa Monica, California, , U.S.",,,,1892-04-08,,,,1979-05-29,,,,,,1900–1955,,,,"Actress, producer, screenwriter, businesswoman",,,,,,,"Charlotte Hennessey, (mother)",2,Gladys Marie Smith,,,,,,,,,,,,,,,,,
,,,,,,,,"Eileen Wilson,  ,  , (, m., 1915;, div., 1930),  , Carole Lombard,  ,  , (, m., 1931;, div., 1933),  , Diana Lewis,  ,  , (, m., 1940),  ",,,,,,"Desert Memorial Park, ,, Cathedral City, California, , U.S.","Pittsburgh, Pennsylvania, , U.S.",,,,,,,,,,William Powell,,,,,,Actor,,,,,,,,"Palm Springs, California, , U.S.",,,,1892-07-29,,,,1984-03-05,,,,,,1911–1955,,,,,,,,,,,,William David Powell,William Horatio Powell,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"Beth El Cemetery,, Ridgewood, ,, Queens","Bucharest, ,, Kingdom of Romania",,,,,,,,,,Edward G. Robinson,,"Gladys Lloyd,  ,  , (, m., 1927;, div., 1956),  , Jane Robinson,  , (, m., 1958),  ",,,,Actor,,,,,,,,"Los Angeles, ,, California, , U.S.",,,"Honorary Academy Award, (1973), Screen Actors Guild Life Achievement Award, (1969)",1893-12-12,,,,1973-01-26,,,,,,1913–1973,,,,,,,,,,,,Edward G. Robinson Jr.,Emanuel Goldenberg,,,,,,,,,,,,,,,Democratic,,
,,,,,,,,,,,,,,Forest Lawn Memorial Park,"Burchard, Nebraska, , U.S.",,,,,,,,,,Harold Lloyd,,,,,,,,,,,,,,"Beverly Hills, California, , U.S.",,,,1893-04-20,,,,1971-03-08,,,,,,1913–1963,,,,"Actor, comedian, producer, stunt performer",,,,,,,,"3, including, Harold Lloyd Jr.",Harold Clayton Lloyd,,,"Mildred Davis,  ,  , (, m., 1923; died 1969),  ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,Cypress Hills Cemetery,"Brooklyn, New York, , U.S.",,,,,,,,,,Mae West,,,,,,,,,,,,,,"Los Angeles, California, , U.S.",,,,1893-08-17,,,,1980-11-22,,,,,,1907–1978,Paul Novak (1954–1980; her death),,,"Actress, singer, playwright, screenwriter",,,,,,,,,Mary Jane West,,,"Frank Wallace,  ,  , (, m., 1911;, div., 1943),  ",,,,,,,,,,,,,,
,,,,,,,,"Jeanne Olsen,  ,  , (, m., 1921; died 1943),  , Margie Little,  , (, m., 1960),  ",,,,,,"Holy Cross Cemetery, Culver City","New York City, , U.S.",,,,,,,,,"The Schnoz, The Great Schnozzola",Jimmy Durante,,,,,,,,,,,,,,"Santa Monica, California, , U.S.",,,,1893-02-10,,,,1980-01-29,,,,,,1920–1972,,,,"Comedian, actor, singer, pianist",,,,,,,,1 (adopted),James Francis Durante,,,,,,,,,,,,,,,Democratic,,
,,,,,,,,,,,,,,,"Springfield, Ohio, , U.S.",,,,,"lilliangish, .com",,,,,Lillian Gish,,,,,,,,,,,,"Dorothy Gish, (sister)",,"New York City, , U.S.",,,,1893-10-14,,,,1993-02-27,,,,,,1902–1988,,,,"Actress, director, screenwriter",,,,,,,"Mary Robinson McConnell, (mother)",,Lillian Diana Gish,,,,,,,,,,,,,,,Republican,,
,,,,,,,,,,,,,,Angelus-Rosedale Cemetery,"Wichita, Kansas, , U.S.",,,,,,,,,,Hattie McDaniel,,"Howard Hickman,  ,  , (, m., 1911; died 1915),  , George Langford,  ,  , (, m., 1922; died 1925),  , James Lloyd Crawford,  ,  , (, m., 1941;, div., 1945),  , Larry Williams,  ,  , (, m., 1949;, div., 1950),  ",,,,,,,,,,"Etta McDaniel, (sister), Sam McDaniel, (brother)",,"Los Angeles, California",,,,1893-06-10,,,,1952-10-26,,,,,,1920–1952,,,,,,,,,,,,,,,,,,,"Actress, singer-songwriter and comedian",,,,,,,,,,,
,,,,,,"Sam ""Frenchie"" Marx, Minnie Schönberg",,,,,,,,"Forest Lawn Memorial Park Cemetery, , Glendale, California, U. S.","Manhattan, , New York, U.S.",,,,,,,,,,Gummo Marx,,,,,,,,,,,,"Chico Marx, (older brother), Harpo Marx, (older brother), Groucho Marx, (older brother), Zeppo Marx, (younger brother), Al Shean, (maternal uncle)",,"Palm Springs, , California, U.S.",,,,1892-10-23,,,,1977-04-21,,,,,,1899−1960,,,,"Vaudevillian, actor, comedian, theatrical agent",,,,,,,,1,Milton Marx,,,"Helen von Tilzer,  ,  , (, m., 1929; died 1976),  ",,,,,,,,,,,,,,
,,,,,,,,"Joseph M. Schenck,  ,  , (, m., 1916;, div., 1934),  , George Jessel,  ,  , (, m., 1934;, div., 1939),  , Carvel James,  , (, m., 1946),  ",,,,,,Hollywood Forever Cemetery,"Jersey City, New Jersey, , U.S.",,,,,,,,,,Norma Talmadge,,,,,,,,,,,,"Natalie Talmadge, (sister), Constance Talmadge, (sister)",,"Las Vegas, Nevada, , U.S.",,,,1894-05-02,,,,1957-12-24,,,,,,1909–1930,,,,,,,,,,,,,Norma Marie Talmadge,,,,,,"Actress, producer",,,,,,,,,,,
,,,,,,,"Commander, (active), Rear Admiral, (reserve)",,,,,,United States Navy,"Holy Cross Cemetery, Culver City, California","Cape Elizabeth, Maine, , U.S.",,,,,,"1942–1945 (active), 1946–1962 (reserve)",,,,John Ford,,,,,,Film director/producer,,,,,,,,"Palm Desert, California, , U.S.",,,"Legion of Merit, with, Combat ""V"", Purple Heart, Meritorious Service Medal, Air Medal, American Campaign Medal, European–African–Middle Eastern Campaign Medal, Asiatic–Pacific Campaign Medal, World War II Victory Medal",1894-02-01,,,,1973-08-31,United States,,,,,1913–1966,,,,,,,,,,,,2,John Martin Feeney,,,"Mary McBride Smith,  , (, m., 1920),  ",,,,"Office of Strategic Services, 11th Naval District, USS, Philippine Sea, (CV-47)",,,,,,,,Republican,,
,,,,,,,,"Florence Arto,  ,  , (, m., 1915;, div., 1924),  , Eleanor Boardman,  ,  , (, m., 1926;, div., 1931),  , Elizabeth Hill,  ,  , (, m., 1932⁠–⁠1978),  , her death",,,,,,,"Galveston, Texas, , U.S.",,,,,,,,,King W. Vidor,King Vidor,,,,,,,,,,,,,,"Paso Robles, California, , U.S.",,,,1894-02-08,,,,1982-11-01,,,,,,1913–1980,,,,"Film director, producer, screenwriter",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Hollywood Forever Cemetery, (, Los Angeles, ,, California, , U.S.)",,,,,,"Jean Acker,  ,  , (, m., 1919;, div., 1923),  , Natacha Rambova,  ,  , (, m., 1923;, div., 1925),  ",,,,,,,"Castellaneta, , Italy",,,,,,,,,,Rudolph Valentino,,,,,,Actor,,,,,,,,"New York City, , U.S.",,,,1895-05-06,,,,1926-08-23,,,,,,1914–1926,,,,,,,,,,,,,Rodolfo Pietro Filiberto Raffaello Guglielmi di Valentina d'Antonguolla,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"Forest Lawn Memorial Park, ,, Hollywood Hills, , California","Piqua, Kansas, , U.S.",,,,,,,,,,Buster Keaton,,"Natalie Talmadge,  ,  , (, m., 1921;, div., 1932),  , Mae Scriven,  ,  , (, m., 1933;, div., 1936),  , Eleanor Keaton,  , (, m., 1940),  ",,,,,,,,,,,,"Los Angeles, California, , U.S.",Full list,,,1895-10-04,,,,1966-02-01,,,,,,1899–1966,,,,"Actor, comedian, filmmaker, stuntman",,,,,,,,2,Joseph Frank Keaton,,,,,,,,,,"Joe Keaton, (father), Myra Cutler, (mother)",,,,,,,
,,,,,,,,,,,,,,,"San Gabriel, Jalisco, , Mexico",,,,,,,,,"Fray José de Guadalupe, Mojica,, OFM",José Mojica,,,,,,,,,,,,,,"Lima, , Peru",,,,1895-09-14,,,,1974-09-20,,,,,,"1947–1974 (religious), 1930–1966 (actor), 1919–1940 (opera singer)",,,,"Opera singer, actor, friar",,,,,,,,,Crescenciano Abel Exaltación de la Cruz José de Jesús Mojica Montenegro y Chavarín,Franciscan,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"Quincy, Massachusetts, , U.S.",,"Jed Harris, (1929 - c. 1930s)",,,,,,,,Ruth Gordon,,"Gregory Kelly,  ,  , (, m., 1921; died 1927),  , Garson Kanin,  ,  , (, m., 1942),  ",,,,,,,,,,,,"Edgartown, Massachusetts, , U.S.",,,,1896-10-30,,,,1985-08-28,,,,,,1915–1985,,,,"Actress, writer",,,,,,,,1,Ruth Gordon Jones,,,,,,,,,,,,,,,,,
,,Coachella Valley Public Cemetery,,,"World War I, World War II",,Colonel,"Helen Howell,  ,  , (, m., 1923;, div., 1928),  , Lucille Warner,  ,  , (, m., 1932; died 1984),  ",,,,,United States Army,,"Bisacquino, ,, Sicily, ,, Italy",,,,,,"1918, 1941–1945",,,Frank Russell Capra,Frank Capra,,,,,,,,"Italy, United States (from 1920)",,,,,,"La Quinta, California, , U.S.",,,"Distinguished Service Medal, Legion of Merit, World War I Victory Medal, American Defense Service Medal, American Campaign Medal, World War II Victory Medal",1897-05-18,,,,1991-09-03,United States,,,,,1922–1964,,,,,,,,,,,,"4, including, Frank Jr.",Francesco Rosario Capra,,,,California Institute of Technology,"President of the, Academy of Motion Picture Arts and Sciences, 1935–1939","Film director, producer, writer",Army Signal Corps,,,,,,,,Republican,,
,,,,,,,,,,,,,,Hollywood Forever Cemetery,"Brooklyn, New York, , U.S.",,,,,,,,,,Marion Davies,,,,,,,,,,,,"Rosemary Davies, (sister), Reine Davies, (sister), Charles Lederer, (nephew), Pepi Lederer, (niece)",,"Los Angeles, California, , U.S.",,,,1897-01-03,,,,1961-09-22,,,,,,1914–1937,"William Randolph Hearst, (1917–1951; his death)",,,"Actress, producer, screenwriter, philanthropist",,,,,,,,"Patricia Lake, (alleged)",Marion Cecilia Douras,,,"Horace G. Brown,  , (, m., 1951),  ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"San Francisco, , California, U.S.",,,,,,,,,,Dorothy Arzner,,,,,,Film director,,,,,,,,"La Quinta, California, , U.S.",,,,1897-01-03,,,,1979-10-01,,,,,,1922–1943,"Marion Morgan, (1927–1971; her death)",,,,,,,,,,,,Dorothy Emma Arzner,,,,,,,,,,,,,,,,,
,,,,,,,,"Charles Head,  ,  , (, m., 1923;, div., 1938),  , Wiard Ihnen,  ,  , (, m., 1940; died 1979),  ",,,,,,"Forest Lawn Memorial Park, ,, Glendale, California","San Bernardino, California, ,, U.S.",,,,,,,,,,Edith Head,,,,,,,,,,,,,,"Los Angeles, ,, California, , U.S.",,,,1897-10-28,,,,1981-10-24,,,,,,1924–1981,,,,,,,,,,,,,Edith Claire Posener,,,,"University of California, Berkeley, (, B.A., , 1919), Stanford University, (, M.A., , 1920)",,,,,,,,,,,,,
,,,,,,,,,,,,,,Forest Lawn Memorial Park (Glendale),"Chicago, Illinois, , U.S.",,,,,,,,,,Hal B. Wallis,,"Louise Fazenda,  ,  , (, m., 1927; died 1962),  , Martha Hyer,  , (, m., 1966),  ",,,,Film producer,,,,,,,,"Rancho Mirage, California, , U.S.",,,,1898-10-19,,,,1986-10-05,,,,,,1923–1983,,,,,,,,,,,,1,Aaron Blum Wolowicz,,,,,,,,,,,,,,,,,
,,,,,World War I,,Second lieutenant,"Marion DuPont,  ,  , (, m., 1936;, div., 1939),  , Patricia Stillman,  ,  , (, m., 1944),  ",,,,,United States Army,"Elmwood Cemetery in, Charlotte, North Carolina","Orange County, Virginia, , U.S.",,,,,,1917–1919,,,,Randolph Scott,,,,,,Actor,,,,,,,,"Beverly Hills, California, , U.S.",,,,1898-01-23,,,,1987-03-02,United States,,,,,1928–1962,,,,,,,,,,,,,George Randolph Scott,,,,,,,2nd Trench Mortar Battalion,,,,,,,,,,
