Name,Full Birth Name,Birth Date,Place of Birth,Died,Death Place,Resting place,Children,Spouse/Spouses,Occupation/Occupations,Start career,End career,Birth Year,Death Year
Douglas Fairbanks,Douglas Elton Thomas Ullman,1883-05-23,"Denver, Colorado, U.S.",1939-12-12,"Santa Monica, California, U.S.",Hollywood Forever Cemetery,1,"Anna Beth Sully, Mary Pickford, Sylvia Ashley","actor, filmmaker",1899,1934,1883,1939
Louis B. Mayer,Lazar Meir,1884-07-12,Russian Empire,1957-10-29,"Los Angeles, California, U.S.",Home of Peace Cemetery (East Los Angeles),2,"Margaret Shenberg, Lorena Layson","film producer, studio executive",1915,1951,1884,1957
Wallace Beery,Wallace Fitzgerald Beery,1885-04-01,"Clay County, Missouri, U.S.",1949-04-15,"Beverly Hills, California, U.S.","Forest Lawn Memorial Park, ,, Glendale, California, , U.S.",1,"Gloria Swanson, Rita Gilman","actor, film director",1904,1949,1885,1949
Sessue Hayakawa,,,,1973-11-23,,,3,Tsuru Aoki,actor,1914,1966,,1973
Chico Marx,Leonard Joseph Marx,1887-03-22,"Manhattan,  New York, U.S.",1961-10-11,"Hollywood,  California, U.S.",,1,"Betty Karp, Mary De Vithas","actor, comedian, pianist",1910,1960,1887,1961
Harpo Marx,Adolph Marx,1888-11-23,"Manhattan,  New York, U.S.",1964-09-28,"Los Angeles,  California, U.S.",,4,Susan Fleming,"comedian, actor, mime artist, harpist",1910,1963,1888,1964
Charlie Chaplin,Charles Spencer Chaplin,1889-04-16,"London, England",1977-12-25,"Corsier-sur-Vevey, Switzerland",,11,"Mildred Harris, Lita Grey, Paulette Goddard, Oona O'Neill","actor, comedian, director, composer, screenwriter, producer, editor",1899,1975,1889,1977
Victor Fleming,Victor Lonzo Fleming,1889-02-23,"La Cañada Flintridge, California, U.S.",1949-01-06,"Cottonwood, Arizona, U.S.",Hollywood Forever Cemetery,,Lucile Rosson ,"director, cinematographer, producer",1910,1949,1889,1949
Stan Laurel,Arthur Stanley Jefferson,1890-06-16,"Ulverston,  Lancashire, England",1965-02-23,"Santa Monica, California, United States",,2,"Lois Neilson, Virginia Ruth Rogers, Vera Ivanova Shuvalova, Ida Kitaeva Raphael","actor, writer, comedian, entertainer, film director",1906,1957,1890,1965
Groucho Marx,Julius Henry Marx,,,1977-08-19,,Eden Memorial Park Cemetery,3,"Ruth Johnson, Kay Marvis Gorcey, Eden Hartford",,1905,1976,,1977
Jack L. Warner,Jacob Warner,1892-08-02,"London,  Ontario, Canada",1978-09-09,"Los Angeles,  California, U.S.","Home of Peace Cemetery, ,, East Los Angeles, California, , U.S.",3,"Irma Claire Salomon, Ann Page",film executive,1918,1973,1892,1978
Oliver Hardy,Norvell Hardy,1892-01-18,"Harlem, Georgia, U.S.",1957-08-07,"North Hollywood, Los Angeles, California, U.S.",,,"Madelyn Saloshin, Myrtle Reeves, Virginia Lucille Jones",actor,1914,1955,1892,1957
Ernst Lubitsch,,1892-01-29,"Berlin,  German Empire",1947-11-30,"Los Angeles, California, U.S.",Forest Lawn Memorial Park (Glendale),1,"Helene Kraus, Vivian Gaye","film director, producer, writer, actor",1913,1947,1892,1947
Mary Pickford,Gladys Marie Smith,1892-04-08,"Toronto,  Ontario, Canada",1979-05-29,"Santa Monica, California, U.S.",,2,"Owen Moore, Douglas Fairbanks, Charles ""Buddy"" Rogers","actress, producer, screenwriter, businesswoman",1900,1955,1892,1979
William Powell,William Horatio Powell,1892-07-29,"Pittsburgh, Pennsylvania, U.S.",1984-03-05,"Palm Springs, California, U.S.","Desert Memorial Park, ,, Cathedral City, California, , U.S.",1,"Eileen Wilson, Carole Lombard, Diana Lewis",actor,1911,1955,1892,1984
Edward G. Robinson,Emanuel Goldenberg,1893-12-12,"Bucharest,  Kingdom of Romania",1973-01-26,"Los Angeles,  California, U.S.","Beth El Cemetery,, Ridgewood, ,, Queens",1,"Gladys Lloyd, Jane Robinson",actor,1913,1973,1893,1973
Harold Lloyd,Harold Clayton Lloyd,1893-04-20,"Burchard, Nebraska, U.S.",1971-03-08,"Beverly Hills, California, U.S.",Forest Lawn Memorial Park,3,Mildred Davis,"actor, comedian, producer, stunt performer",1913,1963,1893,1971
Mae West,Mary Jane West,1893-08-17,"Brooklyn, New York, U.S.",1980-11-22,"Los Angeles, California, U.S.",Cypress Hills Cemetery,,Frank Wallace,"actress, singer, playwright, screenwriter",1907,1978,1893,1980
Jimmy Durante,James Francis Durante,1893-02-10,"New York City, U.S.",1980-01-29,"Santa Monica, California, U.S.","Holy Cross Cemetery, Culver City",1,"Jeanne Olsen, Margie Little","comedian, actor, singer, pianist",1920,1972,1893,1980
Lillian Gish,Lillian Diana Gish,1893-10-14,"Springfield, Ohio, U.S.",1993-02-27,"New York City, U.S.",,,,"actress, director, screenwriter",1902,1988,1893,1993
Hattie McDaniel,,1893-06-10,"Wichita, Kansas, U.S.",1952-10-26,"Los Angeles, California",Angelus-Rosedale Cemetery,,"Howard Hickman, George Langford, James Lloyd Crawford, Larry Williams","actress, singer-songwriter and comedian",1920,1952,1893,1952
Gummo Marx,Milton Marx,1892-10-23,"Manhattan, New York, U.S.",1977-04-21,"Palm Springs, California, U.S.","Forest Lawn Memorial Park Cemetery, , Glendale, California, U. S.",1,Helen von Tilzer,"vaudevillian, actor, comedian, theatrical agent",1899,1960,1892,1977
Norma Talmadge,Norma Marie Talmadge,1894-05-02,"Jersey City, New Jersey, U.S.",1957-12-24,"Las Vegas, Nevada, U.S.",Hollywood Forever Cemetery,,"Joseph M. Schenck, George Jessel, Carvel James","actress, producer",1909,1930,1894,1957
John Ford,John Martin Feeney,1894-02-01,"Cape Elizabeth, Maine, U.S.",1973-08-31,"Palm Desert, California, U.S.","Holy Cross Cemetery, Culver City, California",2,Mary McBride Smith,"film director, producer",1913,1966,1894,1973
King Vidor,,1894-02-08,"Galveston, Texas, U.S.",1982-11-01,"Paso Robles, California, U.S.",,,"Florence Arto, Eleanor Boardman, Elizabeth Hill, her death","film director, producer, screenwriter",1913,1980,1894,1982
Rudolph Valentino,Rodolfo Pietro Filiberto Raffaello Guglielmi di Valentina d'Antonguolla,1895-05-06,"Castellaneta, Italy",1926-08-23,"New York City, U.S.",,,"Jean Acker, Natacha Rambova",actor,1914,1926,1895,1926
Buster Keaton,Joseph Frank Keaton,1895-10-04,"Piqua, Kansas, U.S.",1966-02-01,"Los Angeles, California, U.S.","Forest Lawn Memorial Park, ,, Hollywood Hills, , California",2,"Natalie Talmadge, Mae Scriven, Eleanor Keaton","actor, comedian, filmmaker, stuntman",1899,1966,1895,1966
José Mojica,Crescenciano Abel Exaltación de la Cruz José de Jesús Mojica Montenegro y Chavarín,1895-09-14,"San Gabriel, Jalisco, Mexico",1974-09-20,"Lima, Peru",,,,"opera singer, actor, friar",1947,1974,1895,1974
Ruth Gordon,Ruth Gordon Jones,1896-10-30,"Quincy, Massachusetts, U.S.",1985-08-28,"Edgartown, Massachusetts, U.S.",,1,"Gregory Kelly, Garson Kanin","actress, writer",1915,1985,1896,1985
Frank Capra,Francesco Rosario Capra,1897-05-18,"Bisacquino,  Sicily,  Italy",1991-09-03,"La Quinta, California, U.S.",,4,"Helen Howell, Lucille Warner","film director, producer, writer",1922,1964,1897,1991
Marion Davies,Marion Cecilia Douras,1897-01-03,"Brooklyn, New York, U.S.",1961-09-22,"Los Angeles, California, U.S.",Hollywood Forever Cemetery,2,Horace G. Brown,"actress, producer, screenwriter, philanthropist",1914,1937,1897,1961
Dorothy Arzner,Dorothy Emma Arzner,1897-01-03,"San Francisco, California, U.S.",1979-10-01,"La Quinta, California, U.S.",,,,film director,1922,1943,1897,1979
Edith Head,Edith Claire Posener,1897-10-28,"San Bernardino, California,  U.S.",1981-10-24,"Los Angeles,  California, U.S.","Forest Lawn Memorial Park, ,, Glendale, California",,"Charles Head, Wiard Ihnen",,1924,1981,1897,1981
Hal B. Wallis,Aaron Blum Wolowicz,1898-10-19,"Chicago, Illinois, U.S.",1986-10-05,"Rancho Mirage, California, U.S.",Forest Lawn Memorial Park (Glendale),1,"Louise Fazenda, Martha Hyer",film producer,1923,1983,1898,1986
Randolph Scott,George Randolph Scott,1898-01-23,"Orange County, Virginia, U.S.",1987-03-02,"Beverly Hills, California, U.S.","Elmwood Cemetery in, Charlotte, North Carolina",,"Marion DuPont, Patricia Stillman",actor,1928,1962,1898,1987
Irene Dunne,Irene Marie Dunn,1898-12-20,"Louisville, Kentucky, U.S.",1990-09-04,"Los Angeles, California, U.S.",,1,Francis Dennis Griffin,"actress, singer, philanthropist",1920,1987,1898,1990
Fred Astaire,Frederick Austerlitz,1899-05-10,"Omaha, Nebraska, U.S.",1987-06-22,"Los Angeles,  California, U.S.",Oakwood Memorial Park Cemetery,2,"Phyllis Livingston Potter, Robyn Smith","dancer, choreographer, singer, actor, presenter",1904,1981,1899,1987
Gloria Swanson,Gloria May Josephine Swanson,1899-03-27,"Chicago, Illinois, U.S.",1983-04-04,"New York City, U.S.","Church of the Heavenly Rest, , New York City",3,"Wallace Beery, Herbert K. Somborn, Henry de La Falaise, Michael Farmer, William Davey, William Dufty",,1914,1983,1899,1983
Irving Thalberg,,1899-05-30,"Brooklyn, New York, U.S.",1936-09-14,"Santa Monica, California, U.S.","Forest Lawn Memorial Park, ,, Glendale, California",4,Norma Shearer,"film producer, director, studio manager",1921,1936,1899,1936
James Cagney,James Francis Cagney Jr.,1899-07-17,"New York City, U.S.",1986-03-30,"Stanford, New York, U.S.",Gate of Heaven Cemetery,2,Frances Vernon,"actor, dancer, film director",1919,1961,1899,1986
Alfred Hitchcock,Alfred Joseph Hitchcock,1899-08-13,"Leytonstone,  Essex, England",1980-04-29,"Los Angeles, California, U.S.",,1,Alma Reville,"film director, editor, film producer, screenwriter, actor",1919,1980,1899,1980
Humphrey Bogart,Humphrey DeForest Bogart,1899-12-25,"New York City, U.S.",1957-01-14,"Los Angeles, California, U.S.","Forest Lawn Memorial Park, Glendale, California",2,"Helen Menken, Mary Philips, Mayo Methot, Lauren Bacall",actor,1921,1956,1899,1957
George Cukor,George Dewey Cukor,1899-07-07,"New York City, U.S.",1983-01-24,"Los Angeles, California, U.S.",Forest Lawn Memorial Park (Glendale),,,"film director, producer",1930,1981,1899,1983
Ramon Novarro,José Ramón Gil Samaniego,1899-02-06,"Durango City,  Durango, Mexico",1968-10-30,"North Hollywood,  Los Angeles,  California, U.S.",Calvary Cemetery,,,,1917,1968,1899,1968
Spencer Tracy,,1900-04-05,"Milwaukee, Wisconsin, U.S.",1967-06-10,"Beverly Hills, California, U.S.",,2,Louise Treadwell,actor,1921,1967,1900,1967
Jean Arthur,Gladys Georgianna Greene,1900-10-17,"Plattsburgh, New York, U.S.",1991-06-19,"Carmel-by-the-Sea, California, U.S.",,,"Julian Anker, Frank Ross Jr.",actress,1923,1975,1900,1991
Helen Hayes,Helen Hayes Brown,1900-10-10,"Washington, D.C., U.S.",1993-03-17,"Nyack, New York, U.S.",,2,Charles MacArthur,actress,1905,1987,1900,1993
Mervyn LeRoy,,1900-10-15,"San Francisco,  California, U.S.",1987-09-13,"Beverly Hills, California, U.S.",Forest Lawn Memorial Park (Glendale),2,"Edna Murphy, Doris Warner, Katherine Spiegel","film director, producer",1928,1968,1900,1987
Clark Gable,William Clark Gable,1901-02-01,"Cadiz, Ohio, U.S.",1960-11-16,"Los Angeles,  California, U.S.","Forest Lawn Memorial Park, Glendale, California, , U.S.",2,"Josephine Dillon, Maria Langham, Carole Lombard, Sylvia Ashley, Kay Williams",actor,1918,1960,1901,1960
Walt Disney,Walter Elias Disney,1901-12-05,"Chicago, Illinois, U.S.",1966-12-15,"Burbank, California, U.S.","Forest Lawn Memorial Park, Glendale, California",2,Lillian Disney,"animator, film producer, entrepreneur",,,1901,1966
Gary Cooper,Frank James Cooper,1901-05-07,"Helena, Montana, U.S.",1961-05-13,"Los Angeles,  California, U.S.","Sacred Hearts Cemetery, New York, , U.S.",1,Veronica Balfe,actor,1925,1961,1901,1961
Marlene Dietrich,Marie Magdalene Dietrich,1901-12-27,"Berlin, Germany",1992-05-06,"Paris, France",Städtischer Friedhof III,1,Rudolf Sieber,"actress, singer",1919,1984,1901,1992
Zeppo Marx,Herbert Manfred Marx,1901-02-25,"Manhattan,  New York, U.S.",1979-11-30,"Eisenhower Medical Center,  Rancho Mirage, California, U.S.","Ashes scattered in the, Pacific Ocean",2,"Marion Benda, Barbara Blakeley","actor, comedian, theatrical agent, engineer",1918,1978,1901,1979
David O. Selznick,David Selznick,1902-05-10,"Pittsburgh, Pennsylvania, U.S.",1965-06-22,"Los Angeles, California, U.S.","Forest Lawn Memorial Park, Glendale, California",3,"Irene Mayer Selznick, Jennifer Jones","film producer, screenwriter, film studio executive",1923,1957,1902,1965
William Wyler,Willi Wyler,1902-07-01,"Mülhausen,  Alsace-Lorraine,  German Empire, (present-day, France, )",1981-07-27,"Beverly Hills, California, U.S.","Forest Lawn Memorial Park, ,, Glendale, California, , U.S.",5,"Margaret Sullavan, Margaret Tallichet","film director, producer",1925,1970,1902,1981
Norma Shearer,Edith Norma Shearer,1902-08-11,"Montreal, Quebec, Canada",1983-06-12,"Los Angeles, California, U.S.","Forest Lawn Memorial Park, Glendale",2,"Irving Thalberg, Martin Arrougé",actress,1919,1950,1902,1983
Bing Crosby,Harry Lillis Crosby Jr.,1903-05-03,"Tacoma, Washington, U.S.",1977-10-14,"Alcobendas, Spain",Holy Cross Cemetery,9,"Dixie Lee, Kathryn Grant","singer, actor",1923,1977,1903,1977
Bob Hope,Leslie Townes Hope,1903-05-29,"Eltham,  London, England",2003-07-27,"Los Angeles, California, U.S.",San Fernando Mission Cemetery,4,"Grace Louise Troxell, Dolores Hope","comedian, vaudevillian, actor, singer, dancer",1924,1998,1903,2003
Claudette Colbert,Émilie Claudette Chauchoin,1903-09-13,"Saint-Mandé, France",1996-07-30,"Speightstown, Barbados","Godings Bay Church Cemetery, Speightstown,, Saint Peter, Barbados, 13°14′28″N, 59°38′32″W, ﻿ / ﻿, 13.241235°N 59.642320°W, ﻿ /, 13.241235; -59.642320",,"Norman Foster, Joel Pressman",actress,1925,1987,1903,1996
Vincente Minnelli,Lester Anthony Minnelli,1903-02-28,"Chicago, Illinois, U.S.",1986-07-25,"Beverly Hills, California, U.S.","Forest Lawn Memorial Park, Glendale",2,"Judy Garland, Georgette Magnani, Denise Hale, Margaretta Lee Anderson","theatre director, film director",1928,1976,1903,1986
Cary Grant,Archibald Alec Leach,1904-01-18,"Bristol, England",1986-11-29,"Davenport, Iowa, U.S.",,1,"Virginia Cherrill, Barbara Hutton, Betsy Drake, Dyan Cannon, Barbara Harris","actor, businessman",1922,1966,1904,1986
Dolores del Río,María de los Dolores Asúnsolo y López Negrete,1904-08-03,"Victoria de Durango, Durango, Mexico",1983-04-11,"Newport Beach,  California, U.S.","Rotonda de las Personas Ilustres, ,, Panteón de Dolores, ,, Mexico City, , Mexico",,"Jaime Martínez del Río, Cedric Gibbons, Lewis A. Riley",actress,1925,1978,1904,1983
George Stevens,George Cooper Stevens,1904-12-18,"Oakland, California, U.S.",1975-03-08,"Lancaster, California, U.S.","Forest Lawn Memorial Park, Hollywood Hills",2,"Yvonne Howell, , Joan McTavish ","director, cinematographer, actor, writer, producer",1915,1970,1904,1975
Greer Garson,Eileen Evelyn Greer Garson,1904-09-29,"Manor Park,  East Ham,  Essex, England",1996-04-06,"Dallas,  Texas, U.S.",Sparkman-Hillcrest Memorial Park Cemetery,,"Edward Snelson, Richard Ney, Buddy Fogelson","actress, singer, philanthropist",1932,1986,1904,1996
Clara Bow,Clara Gordon Bow,1905-07-29,"Brooklyn, New York, U.S.",1965-09-27,"Culver City, California, U.S.",Forest Lawn Memorial Park,2,Rex Bell,actress,1921,1947,1905,1965
Greta Garbo,Greta Lovisa Gustafsson,1905-09-18,"Stockholm, Sweden",1990-04-15,"New York City, U.S.","Skogskyrkogården, Cemetery, Stockholm, Sweden",,,actress,1920,1941,1905,1990
Henry Fonda,Henry Jaynes Fonda,1905-05-16,"Grand Island, Nebraska, U.S.",1982-08-12,"Los Angeles, California, U.S.",,3,"Margaret Sullavan, Frances Seymour Brokaw, Susan Blanchard, Afdera Franchetti, Shirlee Mae Adams",actor,1928,1981,1905,1982
Myrna Loy,Myrna Adele Williams,1905-08-02,"Helena, Montana, U.S.",1993-12-14,"New York City, U.S.","Forestvale Cemetery, Helena, Montana, U.S., 46°39′22″N, 112°02′11″W, ﻿ / ﻿, 46.6562°N 112.0365°W, ﻿ /, 46.6562; -112.0365",,"Arthur Hornblow Jr., John Hertz, Jr., Gene Markey, Howland H. Sargeant",actress,1925,1982,1905,1993
Joan Crawford,Lucille Fay LeSueur,,"San Antonio, Texas, U.S.",,"New York City, U.S.",Ferncliff Cemetery,4,"Douglas Fairbanks Jr., Franchot Tone, Phillip Terry, Alfred Steele",actress,1924,1974,,
Anna May Wong,Wong Liu Tsong,1905-01-03,"Los Angeles, California, U.S.",1961-02-03,"Santa Monica, California, U.S.",,,,actress,1919,1961,1905,1961
Gilbert Roland,Luis Antonio Dámaso de Alonso,1905-12-11,"Ciudad Juárez,  Chihuahua, Mexico",1994-05-15,"Beverly Hills,  California, U.S.",,2,"Constance Bennett, Guillermina Cantu",actor,1923,1982,1905,1994
Louise Brooks,Mary Louise Brooks,1906-11-14,"Cherryvale, Kansas, U.S.",1985-08-08,"Rochester, New York, U.S.","Holy Sepulchre Cemetery (Rochester, New York)",,"A. Edward Sutherland, Deering Davis","actress, dancer, writer",1925,1938,1906,1985
Janet Gaynor,Laura Augusta Gainor,1906-10-06,"Philadelphia, Pennsylvania, U.S.",1984-09-14,"Palm Springs, California, U.S.",Hollywood Forever Cemetery,1,"Jesse Lydell Peck, Adrian, Paul Gregory",actress,1924,1939,1906,1984
Billy Wilder,Samuel Wilder,1906-06-22,"Sucha,  Austria-Hungary, (now, Sucha Beskidzka,  Poland, )",2002-03-27,"Beverly Hills, California, U.S.",,2,"Judith Coppicus, Audrey Young",filmmaker,1929,1981,1906,2002
John Huston,,1906-08-05,"Nevada, Missouri, U.S.",1987-08-28,"Middletown, Rhode Island, U.S.",Hollywood Forever Cemetery,5,"Dorothy Harvey, Lesley Black, Evelyn Keyes, Enrica Soma, Celeste Shane","film director, screenwriter, actor, visual artist",1930,1987,1906,1987
Fred Zinnemann,Alfred Zinnemann,1907-04-29,"Rzeszów,  Austria-Hungary, (now, Poland, )",1997-03-14,"London, England",,1,Renee Bartlett,film director,1932,1982,1907,1997
The Lord Olivier,Laurence Kerr Olivier,1907-05-22,"Dorking, Surrey, England",1989-07-11,"Steyning, West Sussex, England",,4,"Jill Esmond, Vivien Leigh, Joan Plowright","actor, director, producer",1925,1988,1907,1989
Katharine Hepburn,Katharine Houghton Hepburn,1907-05-12,"Hartford, Connecticut, U.S.",2003-06-29,"Fenwick, Connecticut, U.S.",Cedar Hill Cemetery,,Ludlow Ogden Smith,actress,1928,1995,1907,2003
John Wayne,Marion Robert Morrison,1907-05-26,"Winterset, Iowa, U.S.",1979-06-11,"Los Angeles, California","Pacific View Memorial Park, ,, Newport Beach, California, 33°36′34″N, 117°51′12″W, ﻿ / ﻿, 33.60953°N 117.85336°W, ﻿ /, 33.60953; -117.85336",7,"Josephine Saenz, Esperanza Baur, Pilar Pallete","actor, producer",1926,1976,1907,1979
Rosalind Russell,Catherine Rosalind Russell,1907-06-04,"Waterbury, Connecticut, U.S.",1976-11-28,"Beverly Hills, California, U.S.",Holy Cross Cemetery,1,Frederick Brisson,"actress, comedian, screenwriter, singer",1929,1972,1907,1976
Barbara Stanwyck,Ruby Catherine Stevens,1907-07-16,"Brooklyn, New York, U.S.",1990-01-20,"Santa Monica, California, U.S.",,1,"Frank Fay, Robert Taylor","actress, model, dancer",1922,1986,1907,1990
Bette Davis,Ruth Elizabeth Davis,1908-04-05,"Lowell, Massachusetts, U.S.",1989-10-06,"Neuilly-sur-Seine, France",Forest Lawn Memorial Park,3,"Harmon Oscar Nelson, Arthur Farnsworth, William Grant Sherry, Gary Merrill",actress,1929,1989,1908,1989
Carole Lombard,Jane Alice Peters,1908-10-06,"Fort Wayne, Indiana, U.S.",1942-01-16,"Mount Potosi, Nevada, U.S.","Forest Lawn Memorial Park, ,, Glendale, California, , U.S.",,"William Powell, Clark Gable",actress,1921,1942,1908,1942
David Lean,,1908-03-25,"Croydon,  Surrey, England",1991-04-16,"Limehouse,  London, England","Putney Vale Cemetery, ,, London, , England",1,"Isabel Lean, Kay Walsh, Ann Todd, Leila Matkar, Sandra Hotz, Sandra Cooke","film director, ,, film producer, ,, screenwriter, ,, film editor",1930,1991,1908,1991
James Stewart,James Maitland Stewart,1908-05-20,"Indiana, Pennsylvania, U.S.",1997-07-02,"Beverly Hills, California, U.S.","Forest Lawn Memorial Park, ,, Glendale, California, , U.S.",4,Gloria Hatrick McLean,"actor, military pilot",1932,1991,1908,1997
Lupe Vélez,María Guadalupe Villalobos Vélez,1908-07-18,"San Luis Potosí City, Mexico",1944-12-13,"Glendale, California, U.S.","Panteón de Dolores, ,, Mexico City, , Mexico",,Johnny Weissmuller,"actress, singer, dancer",1924,1944,1908,1944
Rex Harrison,Reginald Carey Harrison,1908-03-05,"Huyton,  Lancashire, England",1990-06-02,"New York City, U.S.","Ashes scattered in, Portofino, and, Forest Lawn Memorial Park",2,"Noel Margery Colette-Thomas, Lilli Palmer, Kay Kendall, Rachel Roberts, Elizabeth Rees-Williams, Mercia Tinker",actor,1930,1990,1908,1990
Douglas Fairbanks Jr.,Douglas Elton Fairbanks Jr.,1909-12-09,"New York City, U.S.",2000-05-07,"New York City, U.S.",,3,"Joan Crawford, Mary Lee Epling, Vera Shelton","actor, producer, naval officer",1916,1997,1909,2000
Errol Flynn,Errol Leslie Thomson Flynn,1909-06-20,"Battery Point, Tasmania, Australia",1959-10-14,"Vancouver, British Columbia, Canada","Forest Lawn Memorial Park, Glendale, California, , U.S.",4,"Lili Damita, Nora Eddington, Patrice Wymore",actor,1932,1959,1909,1959
Carmen Miranda,Maria do Carmo Miranda da Cunha,1909-02-09,"Marco de Canaveses,  Kingdom of Portugal",1955-08-05,"Beverly Hills, California, U.S.","São João Batista Cemetery, ,, Rio de Janeiro, , Brazil",,David Alfred Sebastian,"singer, dancer, actress",1928,1955,1909,1955
Elia Kazan,Elias Kazantzoglou,1909-09-07,"Constantinople,  Ottoman Empire, (now, Istanbul,  Turkey, )",2003-09-28,"New York City, U.S.",,5,"Molly Day Thacher Kazan, Barbara Loden, Frances Rudge Kazan","actor, director, producer, screenwriter",1934,1976,1909,2003
Joseph L. Mankiewicz,Joseph Leo Mankiewicz,1909-02-11,"Wilkes-Barre, Pennsylvania, U.S.",1993-02-05,"Bedford, New York, U.S.",,4,"Elizabeth Young, Rose Stradner, Rosemary Matthews","screenwriter, director, producer",1929,1972,1909,1993
David Niven,James David Graham Niven,1910-03-01,"London, England",1983-07-29,"Château-d'Œx, Switzerland",Château-d'Œx Cemetery,4,"Primula Susan Rollo, Hjördis Genberg","actor, author",1932,1983,1910,1983
Luise Rainer,,1910-01-12,"Düsseldorf,  Prussia,  German Empire",2014-12-30,"Belgravia, London, England",,1,"Clifford Odets, Robert Knittel",actress,1926,2006,1910,2014
Vincent Price,Vincent Leonard Price Jr.,1911-05-27,"St. Louis, Missouri, U.S.",1993-10-25,"Los Angeles, California, U.S.",,2,"Edith Barrett, Mary Grant, Coral Browne","actor, art historian, art collector, gourmet cook",1935,1993,1911,1993
Jean Harlow,Harlean Harlow Carpenter,1911-03-03,"Kansas City, Missouri, U.S.",1937-06-07,"Los Angeles, California, U.S.",Forest Lawn Memorial Park,,"Charles McGrew, Paul Bern, Harold Rosson",actress,1928,1937,1911,1937
Danny Kaye,David Daniel Kaminsky,1911-01-18,"New York City, U.S.",1987-03-03,"Los Angeles, California, U.S.",,1,Sylvia Fine,"actor, comedian, singer, dancer, television presenter",1933,1987,1911,1987
Ginger Rogers,Virginia Katherine McMath,1911-07-16,"Independence, Missouri, U.S.",1995-04-25,"Rancho Mirage, California, U.S.",Oakwood Memorial Park Cemetery,,"Jack Pepper, Lew Ayres, Jack Briggs, Jacques Bergerac, William Marshall","actress, dancer, singer",1925,1987,1911,1995
José Ferrer,José Vicente Ferrer de Otero y Cintrón,1912-01-08,"San Juan, Puerto Rico",1992-01-26,"Coral Gables, Florida, U.S.","Santa María Magdalena de Pazzis Cemetery, , San Juan",6,"Uta Hagen, Phyllis Hill, Rosemary Clooney, Stella Magee","actor, film director, theatre director",1935,1992,1912,1992
Gene Kelly,Eugene Curran Kelly,1912-08-23,"Pittsburgh, Pennsylvania, U.S.",1996-02-02,"Beverly Hills, California, U.S.",,3,"Betsy Blair, Jeanne Coyne, Patricia Ward","actor, dancer, singer, filmmaker, choreographer",1931,1994,1912,1996
Vivien Leigh,Vivian Mary Hartley,1913-11-05,"Darjeeling,  Bengal Presidency, British India",1967-07-08,"Belgravia, London, England",,1,"Herbert Leigh Holman, Laurence Olivier",actress,1935,1967,1913,1967
